SITENAME,DATE,SALINITY ,TN,TP
TS/Ph1b,2002-07-11,0.0,14.961,0.05
TS/Ph1b,2002-07-14,0.0,14.318,0.13
TS/Ph1b,2002-07-17,0.0,16.954,0.08
TS/Ph1b,2002-07-19,0.0,24.675,0.13
TS/Ph1b,2002-07-22,0.0,20.818,0.05
TS/Ph1b,2002-07-25,0.0,19.605,0.07
TS/Ph1b,2002-07-28,0.0,21.654,0.06
TS/Ph1b,2002-07-31,0.0,34.485,0.06
TS/Ph1b,2002-08-03,0.0,21.682,0.87
TS/Ph1b,2002-08-06,0.0,23.657,0.57
TS/Ph1b,2002-08-09,0.0,26.236,0.68
TS/Ph1b,2002-08-12,0.0,47.644,0.49
TS/Ph1b,2002-08-15,0.0,22.638,0.53
TS/Ph1b,2002-08-18,0.0,24.242,0.16
TS/Ph1b,2002-08-21,0.0,20.724,0.10
TS/Ph1b,2002-08-24,0.0,19.156,0.09
TS/Ph1b,2002-08-26,0.0,24.152,0.13
TS/Ph1b,2002-08-30,0.0,27.109,0.17
TS/Ph1b,2002-09-02,0.0,27.911,0.09
TS/Ph1b,2002-09-05,0.0,27.276,0.10
TS/Ph1b,2002-09-08,0.0,24.725,0.19
TS/Ph1b,2002-09-11,0.0,25.743,0.15
TS/Ph1b,2002-09-14,0.0,25.140,0.12
TS/Ph1b,2002-09-17,0.0,28.056,0.06
TS/Ph1b,2002-09-20,0.0,29.675,0.09
TS/Ph1b,2002-09-23,0.0,35.493,0.11
TS/Ph1b,2002-09-25,0.0,29.868,0.10
TS/Ph1b,2002-09-29,0.0,36.530,0.03
TS/Ph1b,2002-10-02,0.0,36.567,0.10
TS/Ph1b,2002-10-05,0.0,34.369,0.14
TS/Ph1b,2002-10-08,0.0,30.214,0.11
TS/Ph1b,2002-10-11,0.0,27.184,0.12
TS/Ph1b,2002-10-14,0.0,24.284,0.12
TS/Ph1b,2002-10-17,0.0,26.959,0.09
TS/Ph1b,2002-10-19,0.0,34.157,0.07
TS/Ph1a,2003-03-29,0.0,28.799,0.10
TS/Ph1a,2003-05-30,0.0,35.160,0.11
TS/Ph1a,2003-06-02,0.0,33.724,0.08
TS/Ph1a,2003-06-05,0.0,34.898,0.08
TS/Ph1a,2003-06-08,0.0,31.243,0.08
TS/Ph1a,2003-06-11,0.0,29.723,0.06
TS/Ph1a,2003-06-14,0.0,29.931,0.09
TS/Ph1a,2003-06-16,0.0,33.935,0.05
TS/Ph1a,2003-06-19,0.0,23.473,-9999.00
TS/Ph1a,2003-06-22,0.0,28.226,0.13
TS/Ph1a,2003-06-25,0.0,25.637,0.09
TS/Ph1a,2003-06-28,0.0,26.466,0.08
