SITENAME,DATE,TIME,SALINITY,TN,TP,TOC,NH4 ,N&N,NO2,SRP,DOC,NO3
TS/PH8,2003-02-21,-9999,22,30.301,-9999.00,568.500,3.12,0.64,0.07,-9999.00,674.167,0.58
TS/PH8,2003-03-27,10:10,20,70.341,0.25,811.917,-9999.00,2.27,0.27,0.10,-9999.000,2.00
TS/PH8,2003-04-29,-9999,28,46.536,0.34,818.417,6.35,1.51,0.28,0.06,819.417,1.23
TS/PH8,2003-05-29,11:00,5,47.714,0.24,1096.667,10.32,2.04,0.29,0.04,-9999.000,1.75
TS/PH8,2003-06-23,14:00,1,33.521,0.17,884.583,3.68,0.63,0.17,0.02,788.500,0.46
TS/PH8,2003-07-21,10:30,1,39.737,0.17,1196.667,9.93,0.49,0.12,0.03,1054.167,0.38
TS/PH8,2003-08-13,14:30,1,37.630,0.17,1196.667,4.45,0.94,0.12,0.04,994.167,0.82
TS/PH8,2003-09-23,10:30,0,53.456,0.03,809.250,1.67,0.39,0.07,0.02,725.917,0.32
TS/PH8,2003-10-16,14:15,0,31.267,0.09,790.250,1.95,0.27,0.08,0.04,884.167,0.20
TS/PH8,2003-11-21,11:45,0,41.025,0.07,816.583,1.28,0.23,0.06,0.00,689.500,0.17
TS/PH8,2003-12-29,12:45,1,61.532,0.11,750.750,2.08,0.17,0.05,0.01,796.250,0.12
TS/PH8,2004-02-01,10:30,2,27.726,0.15,811.250,3.45,1.64,0.11,0.02,-9999.000,1.53
TS/PH8,2004-02-19,13:15,2,-9999.000,0.19,1160.000,3.59,0.57,0.06,0.06,1105.833,0.51
TS/PH8,2004-03-30,13:50,19,28.890,0.35,812.917,2.75,1.93,0.10,0.03,879.167,1.84
TS/PH8,2004-04-20,14:00,21,32.697,0.29,1193.333,2.69,2.03,0.13,0.03,1248.333,1.90
TS/PH8,2004-05-11,14:40,22,31.982,0.31,1059.167,18.97,2.54,0.31,0.05,990.833,2.23
TS/PH8,2004-06-23,13:45,39,26.605,0.22,697.750,7.41,1.89,0.15,0.00,-9999.000,1.73
TS/PH8,2004-07-15,15:00,40,33.099,0.41,727.667,6.90,0.87,0.23,0.03,-9999.000,0.65
TS/PH8,2004-08-22,14:30,2,81.156,0.30,1273.333,7.28,1.33,0.18,0.03,1300.000,1.15
TS/PH8,2004-09-30,14:20,15,38.406,0.25,-9999.000,4.74,5.40,0.24,0.04,-9999.000,5.16
TS/PH8,2004-10-21,12:20,5,33.040,0.13,814.000,5.18,2.10,0.17,0.02,875.833,1.93
TS/PH8,2004-11-16,11:45,1,32.820,0.27,847.500,9.82,2.14,0.31,0.11,994.167,1.84
TS/PH8,2004-12-08,15:15,1,31.076,0.54,950.000,14.96,2.63,1.10,0.02,1071.667,1.53
TS/PH8,2005-01-27,16:45,26,47.896,0.26,794.250,4.29,3.38,0.99,0.03,816.917,2.38
TS/PH8,2005-02-22,14:47,25,63.071,0.36,-9999.000,-9999.00,3.13,1.46,0.07,1471.667,1.67
TS/PH8,2005-03-10,11:30,25,83.175,0.30,1067.500,-9999.00,7.25,1.97,0.04,-9999.000,5.28
TS/PH8,2005-04-07,14:30,40,47.551,0.23,908.333,6.94,1.23,0.27,0.03,-9999.000,0.96
TS/PH8,2005-05-23,11:30,43,30.375,0.37,938.333,3.48,0.94,0.15,0.03,980.000,0.79
TS/PH8,2005-06-21,15:10,2,60.929,0.38,788.250,9.33,1.85,0.24,0.07,926.667,1.61
TS/PH8,2005-07-12,15:00,1,39.323,0.19,824.833,6.35,0.53,0.14,0.13,917.500,0.39
TS/PH8,2005-08-22,13:15,2,30.384,0.20,-9999,-9999.00,0.83,0.24,0.06,793.833,0.58
TS/PH8,2005-09-15,15:30,1,-9999.000,0.18,-9999,4.15,0.36,0.08,0.03,702.750,0.28
TS/PH8,2005-10-06,12:42,1,30.515,0.16,-9999,6.24,0.90,0.21,0.01,662.833,0.69
TS/PH8,2005-11-17,15:30,2,47.973,0.38,-9999,14.54,0.70,0.21,0.05,964.167,0.49
TS/PH8,2005-12-15,13:30,2,37.364,0.33,-9999,-9999.00,1.16,0.44,0.07,1367.500,0.72
TS/PH8,2006-01-31,12:55,13,30.775,0.62,-9999,5.44,0.81,0.08,0.10,870.833,0.74
TS/PH8,2006-02-07,12:30,10,37.333,0.55,-9999,18.65,6.43,0.97,0.04,1027.500,5.45
TS/PH8,2006-03-22,13:15,26,29.276,0.51,-9999,3.50,1.09,0.01,0.09,923.333,1.08
TS/PH8,2006-04-25,13:30,29,36.231,0.49,-9999,14.99,0.96,0.34,0.04,1168.333,0.62
TS/PH8,2006-05-24,15:45,34,61.254,0.48,-9999,9.82,1.93,0.27,0.08,1080.833,1.66
TS/PH8,2006-06-14,13:00,34,47.852,0.37,-9999,-9999.00,1.62,0.38,0.03,1255.833,1.24
TS/PH8,2006-07-20,15:55,1,53.338,0.37,-9999,12.74,1.31,0.40,0.05,1046.667,0.90
TS/PH8,2006-08-22,14:00,1,52.533,0.26,-9999,-9999.00,1.30,0.35,0.04,908.333,0.95
TS/PH8,2006-09-14,15:00,1,39.866,0.79,-9999,9.93,1.69,0.30,0.03,898.333,1.40
TS/PH8,2006-10-26,11:50,1,28.109,0.21,-9999,9.01,2.44,0.28,0.06,848.333,2.16
TS/PH8,2006-11-29,15:15,12,32.696,0.45,-9999,11.26,2.11,0.40,0.07,1016.667,1.72
TS/PH8,2006-12-20,13:30,8,49.927,0.42,-9999,30.60,3.48,1.08,0.00,1187.500,2.40
TS/PH8,2007-01-21,13:15,19,44.453,0.55,-9999,14.67,3.51,0.90,0.01,1154.167,2.60
TS/PH8,2007-02-20,15:20,11,43.672,0.29,-9999,53.52,7.54,4.51,0.08,1390.000,3.02
TS/PH8,2007-03-16,15:00,28,42.244,0.22,-9999,9.41,7.36,1.07,0.04,983.333,6.29
TS/PH8,2007-04-24,12:45,6,40.578,0.48,-9999,7.61,0.69,0.27,0.02,1882.500,0.42
TS/PH8,2007-05-17,14:30,29,31.604,0.50,-9999,9.01,1.98,0.38,0.02,1174.167,1.60
TS/PH8,2007-06-05,13:45,25,40.425,0.39,-9999,17.11,2.40,0.50,0.00,1355.833,1.90
