EDEN Station Name	UTM E Zone 17N (m NAD83)	UTM N Zone 17N (m NAD83)	Location Area	Vertical Datum for Water Level Data	Vertical Conversion at Gage (ft) (NGVD29 to NAVD88)
G301_T	561649.23396	2950621.87418	L7 Canal	NAVD88	-1.48
G339_H	554571.67792	2927121.84328	L6 Canal	NAVD88	-1.48
G339_T	554557.91890	2927098.96899	L6 Canal	NAVD88	-1.48
Harney_River	491388.60820	2812700.52300	Coast of Gulf of Mexico	NAVD88	-1.44
Joe_Bay_2E	547898.04536	2790715.76319	Coast of Florida Bay	NAVD88	-1.54
L28_GAP	501659.43983	2889475.26924	Big Cypress National Preserve	NAVD88	-1.42
L28S1	515715.50503	2886100.82588	L28 Canal	NAVD88	-1.46
L28S2	516521.06714	2886101.81935	L28 Canal	NAVD88	-1.46
L31NN	550352.70000	2847679.70000	L31N Canal	NAVD88	-1.56
L31NS	550541.20000	2842776.80000	L31N Canal	NAVD88	-1.56
L31N_1	550383.00000	2847688.30000	L31N Canal	NGVD29	-1.56
L31N_3	550503.80000	2844504.80000	L31N Canal	NGVD29	-1.56
L31N_4	550568.90000	2842797.90000	L31N Canal	NGVD29	-1.56
L31N_5	550450.30000	2840988.50000	L31N Canal	NGVD29	-1.56
L31N_7	550364.90000	2838502.70000	L31N Canal	NGVD29	-1.56
L31W	541247.54585	2813407.33544	Everglades National Park	NAVD88	-1.51
LOOP1_H	509238.96342	2849262.52220	Big Cypress National Preserve	NAVD88	-1.48
LOOP1_T	509241.25556	2849228.29065	Big Cypress National Preserve	NAVD88	-1.48
LOOP2_H	504624.73097	2847630.73516	Big Cypress National Preserve	NAVD88	-1.47
LOOP2_T	504601.42265	2847616.89664	Big Cypress National Preserve	NAVD88	-1.47
Lopez_River_Near_Lopez_Campsite	469971.81810	2852658.09300	Coast of Gulf of Mexico	NAVD88	-1.38
Lostmans_River_below_Second_Bay	483473.77720	2826506.90400	Coast of Gulf of Mexico	NAVD88	-1.42
Upstream_Lostmans_River	500530.11430	2827604.07300	Coast of Gulf of Mexico	NAVD88	-1.45
McCormick_Creek_at_mouth	527034.01866	2783566.31699	Coast of Florida Bay	NAVD88	-1.52
MET-1	541300.20393	2844777.68627	Everglades National Park	NAVD88	-1.55
Mud_Creek_at_mouth	541970.27471	2787541.30346	Coast of Florida Bay	NAVD88	-1.54
NCL	525730.63655	2791837.67527	Everglades National Park	NAVD88	-1.53
NESRS1	536672.91666	2841631.53127	Everglades National Park	NGVD29	-1.53
NESRS2	544745.07573	2844886.15957	Everglades National Park	NGVD29	-1.54
NESRS4	534848.00743	2836028.27295	Everglades National Park	NGVD29	-1.52
NESRS5	534153.66514	2834949.87405	Everglades National Park	NGVD29	-1.52
NESRS3	549697.13911	2847057.07404	Everglades National Park	NAVD88	-1.56
New_River_at_Sunday_Bay	474401.14000	2853325.47600	Coast of Gulf of Mexico	Arbitrary	
NORTH_CA1	564356.19402	2941626.13920	Water Conservation Area 1	NAVD88	-1.44
North_River_Upstream_of_Cutoff	508742.28470	2802458.42100	Coast of Gulf of Mexico	NAVD88	-1.50
Upstream_North_River	510026.00000	2804598.00000	Coast of Gulf of Mexico	NAVD88	-1.51
NP201	528138.14036	2844348.34440	Everglades National Park	NAVD88	-1.51
NP202	529238.27941	2838290.99691	Everglades National Park	NAVD88	-1.51
NP203	526235.85737	2833947.60930	Everglades National Park	NAVD88	-1.51
NP205	515267.34680	2841220.57591	Everglades National Park	NAVD88	-1.50
NP206	532950.58963	2825257.52887	Everglades National Park	NAVD88	-1.53
NP44	528120.54103	2812973.57643	Everglades National Park	NAVD88	-1.49
NP46	520542.31352	2800225.81507	Everglades National Park	NAVD88	-1.51
NP62	521834.87392	2813515.56579	Everglades National Park	NAVD88	-1.51
NP67	535189.52071	2801486.36591	Everglades National Park	NAVD88	-1.51
NP72	529861.82732	2808701.83643	Everglades National Park	NAVD88	-1.55
NTS1	540940.39071	2813375.63581	Everglades National Park	NAVD88	-1.51
