Station,DBKEY,Region
ENPCN,63599,SRS
ENPGI,63623,SRS
ENPLM,63644,TS
ENPSR,63681,SRS
NESRS2,01218,SRS
NP-146,H2428,TS
NP-201,06719,SRS
NP-202,06720,SRS
NP-P36,06718,SRS
NP-TSB,H2442,TS
NP-TSH,07090,TS
